ID,Symbol,Company Name
403,EAST.N0000,EAST WEST PROPERTIES PLC
405,EMER.N0000,EASTERN MERCHANTS PLC
348,EDEN.N0000,EDEN HOTEL LANKA PLC
115,ELPL.N0000,ELPITIYA PLANTATIONS PLC
113,ETWO.N0000,EQUITY TWO PLC
5231,PACK.N0000,Ex-pack Corrugated Cartons PLC
5472,EXT.N0000,EXTERMINATORS PLC
528,CFVF.N0000,FIRST CAPITAL HOLDINGS PLC
5330,FCT.N0000,First Capital Treasuries PLC
116,GHLL.N0000,GALADARI HOTELS (LANKA) PLC
533,WAPO.N0000,GALLE FACE CAPITAL PARTNERS PLC
466,GEST.N0000,GESTETNER OF CEYLON PLC
2091,MEL.N0000,GREENTECH ENERGY PLC
132,HAPU.N0000,HAPUGASTENNE PLANTATIONS PLC
167,HARI.N0000,HARISCHANDRA MILLS PLC
340,HNB.X0000,HATTON NATIONAL BANK PLC
172,HNB.N0000,HATTON NATIONAL BANK PLC
4058,HPL.N0000,HATTON PLANTATIONS PLC
31,HAYC.N0000,HAYCARB PLC
331,MGT.N0000,HAYLEYS FABRIC PLC
524,HEXP.N0000,HAYLEYS FIBRE PLC
214,CONN.N0000,HAYLEYS LEISURE PLC
175,HAYL.N0000,HAYLEYS PLC
5431,HELA.N0000,HELA APPAREL HOLDINGS PLC
325,HHL.N0000,HEMAS HOLDINGS PLC
2229,CITH.N0000,HIKKADUWA BEACH RESORT PLC
5,HASU.N0000,HNB ASSURANCE PLC
4680,HNBF.N0000,HNB FINANCE PLC
4681,HNBF.X0000,HNB FINANCE PLC
103,HOPL.N0000,HORANA PLANTATIONS PLC
183,HSIG.N0000,HOTEL SIGIRIYA PLC
355,HDFC.N0000,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL
5311,HBS.N0000,hSenid Business Solutions PLC
276,HUNA.N0000,HUNAS HOLDINGS PLC
134,HUNT.N0000,HUNTER & COMPANY PLC
1786,HVA.N0000,HVA FOODS PLC
269,ASPH.N0000,INDUSTRIAL ASPHALTS (CEYLON) PLC
3495,BFN.N0000,JANASHAKTHI FINANCE PLC
941,JINS.N0000,JANASHAKTHI INSURANCE PLC
5127,JAT.N0000,JAT HOLDINGS PLC
4019,JETS.N0000,JETWING SYMPHONY PLC
297,JKH.N0000,JOHN KEELLS HOLDINGS PLC
104,KHL.N0000,JOHN KEELLS HOTELS PLC
284,JKL.N0000,JOHN KEELLS PLC
8,KAHA.N0000,KAHAWATTE  PLANTATIONS  PLC
5371,KPHL.N0000,KAPRUKA HOLDINGS PLC
227,KFP.N0000,KEELLS FOOD PRODUCTS PLC
372,KGAL.N0000,KEGALLE  PLANTATIONS  PLC
279,KCAB.N0000,KELANI CABLES PLC
82,TYRE.N0000,KELANI TYRES PLC
316,KVAL.N0000,KELANI VALLEY PLANTATIONS PLC
7,KDL.N0000,KELSEY DEVELOPMENTS PLC
241,CPRT.N0000,KERNER HAUS GLOBAL SOLUTIONS PLC
147,KOTA.N0000,KOTAGALA PLANTATIONS PLC
389,LAMB.N0000,KOTMALE HOLDINGS PLC
322,LFIN.N0000,LB FINANCE PLC
137,LPRT.N0000,LAKE HOUSE PRINTERS & PUBLISHERS PLC
18,LALU.N0000,LANKA ALUMINIUM INDUSTRIES PLC
550,ASHO.N0000,LANKA ASHOK LEYLAND PLC
259,CERA.N0000,LANKA CERAMIC PLC
5251,LCBF.N0000,LANKA CREDIT AND BUSINESS FINANCE PLC
553,LIOC.N0000,LANKA IOC PLC
518,LMF.N0000,LANKA MILK FOODS (CWE) PLC
250,ASCO.N0000,LANKA REALTY INVESTMENTS PLC
337,TILE.N0000,LANKA TILES PLC
443,LVEN.N0000,LANKA VENTURES PLC
67,LWL.N0000,LANKA WALLTILE PLC
527,LCEY.N0000,LANKEM CEYLON PLC
546,LDEV.N0000,LANKEM DEVELOPMENTS PLC
1744,LGL.X0000,LAUGFS GAS PLC
1724,LGL.N0000,LAUGFS GAS PLC
4561,LPL.N0000,LAUGFS POWER PLC
4562,LPL.X0000,LAUGFS POWER PLC
382,LITE.N0000,LAXAPANA PLC
198,SHAW.N0000,LEE HEDGES PLC
415,LION.N0000,LION BREWERY (CEYLON) PLC
1847,LOFC.N0000,LOLC FINANCE PLC
5355,LGIL.N0000,LOLC GENERAL INSURANCE PLC
410,LOLC.N0000,L O L C HOLDINGS PLC
1665,HPFL.N0000,LOTUS HYDRO POWER PLC
5532,LUMX.N0000,LUMINEX PLC
4038,LVEF.N0000,L V L ENERGY FUND PLC
170,MADU.N0000,MADULSIMA  PLANTATIONS  PLC
6032,MFPE.N0000,MAHARAJA FOODS PLC
4439,MCPL.N0000,MAHAWELI COCONUT PLANTATIONS PLC
187,MRH.N0000,MAHAWELI REACH HOTELS PLC
1595,MAL.X0000,MALWATTE VALLEY PLANTATION PLC
439,MAL.N0000,MALWATTE VALLEY PLANTATION PLC
107,MARA.N0000,MARAWILA  RESORTS  PLC
388,MASK.N0000,MASKELIYA PLANTATIONS PLC
3695,MELS.N0000,MELSTACORP PLC
1799,MERC.N0000,MERCANTILE INVESTMENTS AND FINANCE PLC
209,MSL.N0000,MERCANTILE SHIPPING COMPANY PLC
400,MBSL.N0000,MERCHANT BANK OF SRI LANKA & FINANCE PLC
3055,MHDL.N0000,MILLENNIUM HOUSING DEVELOPERS PLC
384,MULL.N0000,MULLER & PHIPPS (CEYLON) PLC
5351,MDL.N0000,MYLAND DEVELOPMENTS PLC
1448,NAVF.U0000,NAMAL ACUITY VALUE FUND
291,NAMU.N0000,NAMUNUKULA PLANTATIONS PLC
218,CSF.N0000,NATION LANKA FINANCE PLC
77,NDB.N0000,NATIONAL DEVELOPMENT BANK PLC
9,NTB.N0000,NATIONS TRUST BANK PLC
4077,NTB.X0000,NATIONS TRUST BANK PLC
230,NHL.N0000,NAWALOKA HOSPITALS PLC
1596,ODEL.N0000,ODEL PLC
526,OFEQ.N0000,OFFICE EQUIPMENT PLC
492,ONAL.N0000,ON'ALLY HOLDINGS PLC
387,OSEA.N0000,OVERSEAS REALTY (CEYLON) PLC
354,PALM.N0000,PALM GARDEN HOTELS PLC
105,PABC.N0000,PAN ASIA BANKING CORPORATION PLC
1784,PAP.N0000,PANASIAN POWER PLC
487,PARA.N0000,PARAGON CEYLON PLC
